obsnme,obsval,weight,obgnme,extra
ucon_usecol:kper:000_name:ef-3a_k:11_j:219_k:44,12.090675,1.0,obgnme,
ucon_usecol:kper:001_name:ef-3a_k:11_j:219_k:44,11.469491,1.0,obgnme,
ucon_usecol:kper:002_name:ef-3a_k:11_j:219_k:44,8.557461,1.0,obgnme,
ucon_usecol:kper:003_name:ef-3a_k:11_j:219_k:44,6.2273793,1.0,obgnme,
ucon_usecol:kper:004_name:ef-3a_k:11_j:219_k:44,4.423546,1.0,obgnme,
ucon_usecol:kper:005_name:ef-3a_k:11_j:219_k:44,3.083947,1.0,obgnme,
ucon_usecol:kper:006_name:ef-3a_k:11_j:219_k:44,2.1163957,1.0,obgnme,
ucon_usecol:kper:007_name:ef-3a_k:11_j:219_k:44,1.4342101,1.0,obgnme,
ucon_usecol:kper:008_name:ef-3a_k:11_j:219_k:44,0.960889,1.0,obgnme,
ucon_usecol:kper:009_name:ef-3a_k:11_j:219_k:44,0.63976496,1.0,obgnme,
ucon_usecol:kper:010_name:ef-3a_k:11_j:219_k:44,0.42374575,1.0,obgnme,
ucon_usecol:kper:011_name:ef-3a_k:11_j:219_k:44,0.2794012,1.0,obgnme,
ucon_usecol:kper:012_name:ef-3a_k:11_j:219_k:44,0.18405148,1.0,obgnme,
ucon_usecol:kper:013_name:ef-3a_k:11_j:219_k:44,0.122657284,1.0,obgnme,
ucon_usecol:kper:014_name:ef-3a_k:11_j:219_k:44,0.08220466,1.0,obgnme,
ucon_usecol:kper:015_name:ef-3a_k:11_j:219_k:44,0.0574213,1.0,obgnme,
ucon_usecol:kper:016_name:ef-3a_k:11_j:219_k:44,0.046317466,1.0,obgnme,
ucon_usecol:kper:017_name:ef-3a_k:11_j:219_k:44,0.040713117,1.0,obgnme,
ucon_usecol:kper:018_name:ef-3a_k:11_j:219_k:44,0.7035992,1.0,obgnme,
ucon_usecol:kper:019_name:ef-3a_k:11_j:219_k:44,2.5825055,1.0,obgnme,
ucon_usecol:kper:020_name:ef-3a_k:11_j:219_k:44,15.062201,1.0,obgnme,
ucon_usecol:kper:021_name:ef-3a_k:11_j:219_k:44,41.307346,1.0,obgnme,
ucon_usecol:kper:022_name:ef-3a_k:11_j:219_k:44,43.272552,1.0,obgnme,
ucon_usecol:kper:023_name:ef-3a_k:11_j:219_k:44,45.142296,1.0,obgnme,
ucon_usecol:kper:024_name:ef-3a_k:11_j:219_k:44,46.950577,1.0,obgnme,
ucon_usecol:kper:025_name:ef-3a_k:11_j:219_k:44,48.706802,1.0,obgnme,
ucon_usecol:kper:026_name:ef-3a_k:11_j:219_k:44,50.434998,1.0,obgnme,
ucon_usecol:kper:027_name:ef-3a_k:11_j:219_k:44,52.16702,1.0,obgnme,
ucon_usecol:kper:028_name:ef-3a_k:11_j:219_k:44,53.920372,1.0,obgnme,
ucon_usecol:kper:029_name:ef-3a_k:11_j:219_k:44,55.70037,1.0,obgnme,
ucon_usecol:kper:030_name:ef-3a_k:11_j:219_k:44,57.522224,1.0,obgnme,
