parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,extra,partied
alphah,tied,factor,0.5,0.0,50.0,pargp,1.0,0.0,1,,alphal
alphal,log,factor,5.0,1e-06,500.0,pargp,1.0,0.0,1,,
alphav,tied,factor,0.05,0.0,5.0,pargp,1.0,0.0,1,,alphal
c_u_lti,none,factor,1284.0,642.0,3678.0,pargp,1.0,0.0,1,,
c_u_uti,none,factor,7051.0,3526.0,14100.0,pargp,1.0,0.0,1,,
dr0_s1,none,factor,6245.023,6240.023,6250.023,pargp,1.0,0.0,1,,
dr0_s2,tied,factor,6246.159,6241.159,6251.159,pargp,1.0,0.0,1,,dr0_s1
dr0_s3,tied,factor,6245.865,6240.865,6250.865,pargp,1.0,0.0,1,,dr0_s1
dr0_s4,tied,factor,6242.518,6237.518,6247.518,pargp,1.0,0.0,1,,dr0_s1
dr0_s5,tied,factor,6241.521,6236.521,6246.521,pargp,1.0,0.0,1,,dr0_s1
dr0_s6,tied,factor,6244.205,6239.205,6249.205,pargp,1.0,0.0,1,,dr0_s1
dr0_s7,tied,factor,6247.31,6242.31,6252.31,pargp,1.0,0.0,1,,dr0_s1
dr0_s8,tied,factor,6251.108,6246.108,6256.108,pargp,1.0,0.0,1,,dr0_s1
dr0_s9,tied,factor,6255.558,6250.558,6260.558,pargp,1.0,0.0,1,,dr0_s1
dr0_s10,tied,factor,6260.383,6255.383,6265.383,pargp,1.0,0.0,1,,dr0_s1
dr0_s11,tied,factor,6257.92,6252.92,6262.92,pargp,1.0,0.0,1,,dr0_s1
dr0_s12,tied,factor,6260.792,6255.792,6265.792,pargp,1.0,0.0,1,,dr0_s1
dr0_s13,tied,factor,6265.718,6260.718,6270.718,pargp,1.0,0.0,1,,dr0_s1
dr0_s14,tied,factor,6282.0,6277.0,6287.0,pargp,1.0,0.0,1,,dr0_s1
dr0_s15,tied,factor,6284.373,6279.373,6289.373,pargp,1.0,0.0,1,,dr0_s1
dr0_s16,tied,factor,6288.265,6283.265,6293.265,pargp,1.0,0.0,1,,dr0_s1
dr0_s17,tied,factor,6288.0,6283.0,6293.0,pargp,1.0,0.0,1,,dr0_s1
dr0_s18,tied,factor,6285.856,6280.856,6290.856,pargp,1.0,0.0,1,,dr0_s1
dr0_s19,tied,factor,6320.317,6315.317,6325.317,pargp,1.0,0.0,1,,dr0_s1
dr0_s20,tied,factor,6320.626,6315.626,6325.626,pargp,1.0,0.0,1,,dr0_s1
dr0_s21,tied,factor,6320.605,6315.605,6325.605,pargp,1.0,0.0,1,,dr0_s1
dr0_s22,tied,factor,6322.883,6317.883,6327.883,pargp,1.0,0.0,1,,dr0_s1
dr0_s23,tied,factor,6349.895,6344.895,6354.895,pargp,1.0,0.0,1,,dr0_s1
dr0_s24,tied,factor,6360.167,6355.167,6365.167,pargp,1.0,0.0,1,,dr0_s1
dr0_s25,tied,factor,6361.749,6356.749,6366.749,pargp,1.0,0.0,1,,dr0_s1
dr0_s26,tied,factor,6360.631,6355.631,6365.631,pargp,1.0,0.0,1,,dr0_s1
dr0_s27,tied,factor,6363.19,6358.19,6368.19,pargp,1.0,0.0,1,,dr0_s1
dr0_s28,tied,factor,6362.143,6357.143,6367.143,pargp,1.0,0.0,1,,dr0_s1
dr0_s29,tied,factor,6364.044,6359.044,6369.044,pargp,1.0,0.0,1,,dr0_s1
dr0_s30,tied,factor,6372.369,6367.369,6377.369,pargp,1.0,0.0,1,,dr0_s1
dr0_s31,tied,factor,6378.368,6373.368,6383.368,pargp,1.0,0.0,1,,dr0_s1
dr0_s32,tied,factor,6387.034,6382.034,6392.034,pargp,1.0,0.0,1,,dr0_s1
dr0u1,tied,factor,6245.023,6240.023,6250.023,pargp,1.0,0.0,1,,dr0_s1
dr0u2,tied,factor,6246.159,6241.159,6251.159,pargp,1.0,0.0,1,,dr0_s1
dr0u3,tied,factor,6245.865,6240.865,6250.865,pargp,1.0,0.0,1,,dr0_s1
dr0u4,tied,factor,6242.518,6237.518,6247.518,pargp,1.0,0.0,1,,dr0_s1
dr0u5,tied,factor,6241.521,6236.521,6246.521,pargp,1.0,0.0,1,,dr0_s1
dr0u6,tied,factor,6244.205,6239.205,6249.205,pargp,1.0,0.0,1,,dr0_s1
dr0u7,tied,factor,6247.31,6242.31,6252.31,pargp,1.0,0.0,1,,dr0_s1
dr0u8,tied,factor,6251.108,6246.108,6256.108,pargp,1.0,0.0,1,,dr0_s1
dr0u9,tied,factor,6255.558,6250.558,6260.558,pargp,1.0,0.0,1,,dr0_s1
dr0u10,tied,factor,6260.383,6255.383,6265.383,pargp,1.0,0.0,1,,dr0_s1
dr0u11,tied,factor,6257.92,6252.92,6262.92,pargp,1.0,0.0,1,,dr0_s1
dr0u12,tied,factor,6260.792,6255.792,6265.792,pargp,1.0,0.0,1,,dr0_s1
dr0u13,tied,factor,6265.718,6260.718,6270.718,pargp,1.0,0.0,1,,dr0_s1
dr0u14,tied,factor,6282.0,6277.0,6287.0,pargp,1.0,0.0,1,,dr0_s1
dr0u15,tied,factor,6284.373,6279.373,6289.373,pargp,1.0,0.0,1,,dr0_s1
dr0u16,tied,factor,6288.265,6283.265,6293.265,pargp,1.0,0.0,1,,dr0_s1
dr0u17,tied,factor,6288.0,6283.0,6293.0,pargp,1.0,0.0,1,,dr0_s1
dr0u18,tied,factor,6285.856,6280.856,6290.856,pargp,1.0,0.0,1,,dr0_s1
dr0u19,tied,factor,6320.317,6315.317,6325.317,pargp,1.0,0.0,1,,dr0_s1
dr0_s33,tied,factor,6396.57,6391.57,6401.57,pargp,1.0,0.0,1,,dr0_s1
dr0_s34,tied,factor,6402.439,6397.439,6407.439,pargp,1.0,0.0,1,,dr0_s1
dr0_s35,tied,factor,6404.674,6399.674,6409.674,pargp,1.0,0.0,1,,dr0_s1
dr0_s36,tied,factor,6402.712,6397.712,6407.712,pargp,1.0,0.0,1,,dr0_s1
dr0_s37,tied,factor,6413.432,6408.432,6418.432,pargp,1.0,0.0,1,,dr0_s1
dr0_s38,tied,factor,6435.758,6430.758,6440.758,pargp,1.0,0.0,1,,dr0_s1
dr0_s39,tied,factor,6440.452,6435.452,6445.452,pargp,1.0,0.0,1,,dr0_s1
dr0_s40,tied,factor,6443.314,6438.314,6448.314,pargp,1.0,0.0,1,,dr0_s1
