site_name,kper:000,kper:001,kper:002,kper:003,kper:004,kper:005,kper:006,kper:007,kper:008,kper:009,kper:010,kper:011,kper:012,kper:013,kper:014,kper:015,kper:016,kper:017,kper:018,kper:019,kper:020,kper:021,kper:022,kper:023,kper:024,kper:025,kper:026,kper:027,kper:028,kper:029,kper:030,kper:031
name:ef-3a_k:11_j:219_k:44,6514.6333,6514.6733,6514.7764,6514.8716,6514.9565,6515.027,6515.088,6514.9297,6514.706,6514.46,6515.429,6516.9067,6517.2363,6517.6743,6518.2637,6519.223,6520.6846,6521.062,6521.026,6509.3916,6506.6836,6513.0786,6506.745,6490.211,6493.239,6485.653,6484.4375,6489.294,6488.36,6480.841,6475.0303,6474.751
name:ef-6_k:9_j:203_k:47,6509.895,6509.9136,6509.968,6510.0337,6510.1,6510.1597,6510.213,6510.061,6509.8423,6509.6,6510.4937,6511.9023,6512.2935,6512.718,6513.2896,6514.215,6515.636,6516.088,6516.0703,6513.121,6510.035,6510.3975,6509.329,6506.241,6503.4883,6500.614,6498.389,6497.2544,6496.2554,6494.3965,6491.9077,6489.5645
name:ef-8_k:11_j:212_k:41,6512.457,6512.4844,6512.559,6512.6396,6512.718,6512.7827,6512.84,6512.7,6512.4844,6512.2417,6513.102,6514.5103,6514.928,6515.363,6515.937,6516.8643,6518.283,6518.731,6518.7266,6512.8545,6509.586,6511.816,6509.1665,6504.2114,6501.668,6497.994,6496.2627,6496.1426,6495.225,6492.2695,6488.9434,6486.527
name:h-63_k:11_j:253_k:63,6555.1504,6555.1523,6555.154,6555.1562,6555.1597,6555.1655,6555.1733,6554.9233,6554.6,6554.255,6555.329,6557.0083,6557.3965,6557.792,6558.3857,6559.3613,6560.8584,6561.226,6561.071,6560.742,6560.346,6561.22,6561.487,6561.2305,6560.796,6560.2944,6559.727,6559.0913,6558.399,6557.6724,6556.9336,6556.208
name:lw-1_k:11_j:203_k:99,6574.0723,6574.0728,6574.073,6574.074,6574.0776,6574.0854,6574.0957,6573.864,6573.654,6573.498,6574.7285,6576.1753,6576.2295,6576.5815,6577.0537,6577.854,6579.0645,6579.0093,6578.726,6578.141,6577.4062,6578.1016,6577.918,6577.2793,6576.5522,6575.9375,6575.498,6575.113,6574.7007,6574.2505,6573.7227,6573.258
name:ml-1_k:11_j:186_k:43,6503.1836,6503.1904,6503.2056,6503.232,6503.267,6503.303,6503.339,6503.1904,6502.9688,6502.725,6503.5337,6504.8975,6505.3066,6505.73,6506.3022,6507.216,6508.617,6509.0737,6509.0713,6508.355,6506.8335,6506.563,6506.1807,6504.882,6503.148,6501.328,6499.4736,6497.886,6496.5835,6495.3135,6493.825,6492.179
name:mw-100_k:8_j:203_k:99,6574.065,6574.0654,6574.066,6574.0664,6574.07,6574.0776,6574.0884,6573.856,6573.646,6573.4893,6574.72,6576.167,6576.221,6576.5737,6577.046,6577.8467,6579.0576,6579.0024,6578.719,6578.1357,6577.4014,6578.0967,6577.9136,6577.2754,6576.549,6575.9336,6575.493,6575.108,6574.6953,6574.246,6573.7188,6573.253
name:mw-101_k:11_j:193_k:76,6561.2656,6561.266,6561.266,6561.2666,6561.268,6561.272,6561.28,6561.083,6560.874,6560.6807,6561.6494,6562.866,6562.962,6563.2837,6563.6787,6564.3296,6565.318,6565.258,6564.972,6564.492,6563.761,6564.162,6563.909,6563.268,6562.447,6561.7065,6561.143,6560.7124,6560.2856,6559.885,6559.4106,6558.9224
name:mw-102_k:11_j:213_k:78,6578.888,6578.8887,6578.889,6578.898,6578.9297,6578.967,6578.9995,6578.8613,6578.7876,6578.8003,6579.8535,6581.2324,6581.132,6580.9844,6581.0845,6581.543,6582.3916,6582.378,6582.1226,6579.85,6578.6064,6579.0366,6578.4873,6577.0405,6575.945,6575.3325,6575.585,6575.136,6574.916,6573.5674,6572.4053,6572.7085
name:mw-104_k:9_j:244_k:70,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.347,6603.346,6603.346,6603.3945,6603.4067,6603.355,6603.3657,6603.3716,6603.3853,6603.405,6603.3574,6603.3486,6603.345,6603.3447,6603.392,6603.3604,6603.348,6603.3457,6603.3457,6603.3447,6603.3433,6603.3423,6603.341,6603.341,6603.341
name:mw-105_k:8_j:243_k:51,6539.648,6539.6504,6539.6543,6539.6597,6539.6714,6539.689,6539.709,6539.493,6539.2637,6539.026,6540.094,6541.383,6541.4263,6541.8745,6542.4277,6543.3013,6544.6113,6544.739,6544.674,6544.474,6543.939,6544.4146,6544.032,6543.409,6542.5996,6541.676,6540.685,6539.687,6538.7617,6537.9272,6537.127,6536.2954
name:mw-108_k:9_j:158_k:48,6494.527,6494.5337,6494.5386,6494.5454,6494.5557,6494.568,6494.5815,6494.3955,6494.169,6493.9277,6494.8896,6496.1616,6496.3193,6496.7275,6497.2817,6498.1675,6499.458,6499.7144,6499.699,6499.497,6499.0063,6499.445,6499.2124,6498.5854,6497.7197,6496.7065,6495.5625,6494.363,6493.189,6492.0815,6490.9775,6489.8384
name:mw-109_k:11_j:179_k:64,6540.215,6540.2153,6540.2153,6540.216,6540.216,6540.217,6540.2173,6540.0156,6539.787,6539.5645,6540.4697,6541.617,6541.6973,6541.937,6542.3193,6542.952,6543.8696,6543.8647,6543.627,6543.3423,6543.0415,6543.6562,6543.6313,6543.2925,6542.886,6542.46,6542.0103,6541.545,6541.067,6540.591,6540.1387,6539.7046
name:mw-112_k:6_j:187_k:42,6503.5615,6503.5684,6503.585,6503.613,6503.65,6503.688,6503.7246,6503.588,6503.369,6503.1265,6503.876,6505.222,6505.689,6506.108,6506.674,6507.575,6508.9614,6509.4653,6509.4795,6508.6973,6507.0845,6506.7446,6506.382,6505.029,6503.242,6501.374,6499.4834,6497.8984,6496.611,6495.3335,6493.8086,6492.1245
name:mw-113_k:6_j:203_k:47,6509.8955,6509.914,6509.9683,6510.034,6510.1006,6510.1597,6510.2134,6510.0615,6509.843,6509.601,6510.494,6511.902,6512.2935,6512.718,6513.29,6514.215,6515.636,6516.088,6516.0703,6513.125,6510.038,6510.397,6509.3315,6506.2446,6503.491,6500.617,6498.391,6497.2554,6496.257,6494.399,6491.911,6489.5674
name:mw-114_k:7_j:197_k:39,6507.2783,6507.2886,6507.321,6507.368,6507.4224,6507.473,6507.5195,6507.426,6507.2227,6506.985,6507.5396,6508.811,6509.4897,6509.8965,6510.4346,6511.2812,6512.597,6513.2886,6513.3716,6511.666,6509.196,6508.757,6508.266,6506.1104,6503.776,6501.365,6499.186,6497.7646,6496.6406,6495.125,6493.1084,6491.034
name:mw-115m_k:8_j:212_k:41,6512.454,6512.482,6512.5566,6512.637,6512.7153,6512.7803,6512.8374,6512.6978,6512.4824,6512.2393,6513.0986,6514.506,6514.925,6515.3594,6515.9336,6516.861,6518.28,6518.728,6518.7236,6512.8584,6509.589,6511.8125,6509.1685,6504.2163,6501.672,6497.999,6496.2656,6496.1436,6495.227,6492.274,6488.9487,6486.5312
name:mw-115s_k:4_j:213_k:41,6512.7695,6512.7974,6512.8745,6512.9565,6513.035,6513.1006,6513.158,6513.018,6512.8022,6512.5596,6513.4263,6514.838,6515.249,6515.683,6516.2583,6517.187,6518.608,6519.0513,6519.0454,6512.8027,6509.5327,6512.018,6509.1484,6503.9307,6501.441,6497.656,6495.9927,6496.0117,6495.0977,6491.9873,6488.554,6486.141
name:mw-117m_k:8_j:219_k:44,6514.6333,6514.673,6514.776,6514.871,6514.956,6515.0264,6515.0874,6514.9297,6514.7056,6514.4595,6515.428,6516.9067,6517.2363,6517.6743,6518.263,6519.223,6520.6846,6521.062,6521.026,6509.406,6506.694,6513.0767,6506.754,6494.4785,6495.06,6488.598,6487.9385,6491.3125,6490.28,6483.7124,6478.2925,6477.058
name:mw-117s_k:5_j:219_k:44,6514.6323,6514.672,6514.775,6514.87,6514.955,6515.0254,6515.0864,6514.9287,6514.705,6514.459,6515.426,6516.9062,6517.236,6517.674,6518.263,6519.223,6520.685,6521.062,6521.026,6509.44,6506.7183,6513.072,6506.775,6495.718,6495.597,6489.3633,6488.814,6491.848,6490.7812,6484.355,6478.9204,6477.486
name:mw-119_k:10_j:163_k:58,6505.2085,6505.193,6505.1807,6505.1646,6505.1416,6505.1143,6505.0845,6505.5615,6506.0405,6506.3325,6504.7783,6504.38,6504.244,6504.4077,6504.6963,6505.302,6506.1797,6506.14,6506.0513,6505.936,6505.7925,6506.192,6506.14,6505.7993,6505.2837,6504.836,6504.644,6505.246,6508.4883,6513.581,6515.549,6515.3545
