site_name,kper:000,kper:001,kper:002,kper:003,kper:004,kper:005,kper:006,kper:007,kper:008,kper:009,kper:010,kper:011,kper:012,kper:013,kper:014,kper:015,kper:016,kper:017,kper:018,kper:019,kper:020,kper:021,kper:022,kper:023,kper:024,kper:025,kper:026,kper:027,kper:028,kper:029,kper:030,kper:031,kper:032,kper:033,kper:034,kper:035,kper:036,kper:037,kper:038,kper:039,kper:040,kper:041,kper:042,kper:043,kper:044,kper:045,kper:046,kper:047,kper:048,kper:049,kper:050,kper:051,kper:052,kper:053,kper:054,kper:055,kper:056,kper:057,kper:058,kper:059,kper:060,kper:061,kper:062,kper:063,kper:064,kper:065,kper:066,kper:067,kper:068,kper:069,kper:070,kper:071,kper:072,kper:073,kper:074,kper:075,kper:076,kper:077,kper:078,kper:079,kper:080,kper:081,kper:082,kper:083,kper:084,kper:085,kper:086,kper:087,kper:088,kper:089,kper:090,kper:091
name:ef-3a_k:11_j:219_k:44,12.0179405,11.385757,8.478672,6.1577034,4.367583,3.0398533,2.0838706,1.4111438,0.94498044,0.628505,0.41562322,0.27437833,0.18232405,0.12725209,0.086882025,0.06538309,0.07182237,0.0863796,0.6849932,2.7980316,17.936945,39.409557,39.624275,39.605145,39.392136,39.10587,38.761692,38.319992,37.766327,37.145752,36.493305,35.83553,35.176785,34.526196,33.879128,33.235077,32.59114,31.945162,31.29569,30.642902,29.985525,29.325207,28.658705,27.98974,27.318058,26.64647,25.977638,25.310165,24.645916,23.985086,23.328056,22.673979,22.022797,21.374748,20.729368,20.084454,19.436445,18.784588,18.127485,17.464674,16.797945,16.126993,15.4527235,14.77745,14.1033325,13.434081,12.771413,12.118553,11.477681,10.8522215,10.244126,9.655139,9.08739,8.542348,8.021662,7.524402,7.0509953,6.602708,6.1788144,5.778793,5.4007616,5.0455155,2.5298793,1.2439684,0.6183234,0.32339796,0.18666573,0.1283194,0.102942616,0.08971919,0.08192928,0.077502914
name:ef-6_k:9_j:203_k:47,10.341625,7.73537,7.924368,9.305858,11.487274,13.95674,16.288208,18.254093,19.827374,21.046034,22.002928,22.801813,23.71182,24.761541,25.500742,26.22874,27.368828,28.316017,36.252937,234.83705,212.00514,80.28463,72.55498,65.534325,59.23639,53.605377,48.543587,43.987514,39.84681,36.075203,32.64009,29.487083,26.619064,24.015034,21.676481,19.594378,17.756638,16.146576,14.741567,13.508106,12.438163,11.517475,10.743635,10.096917,9.560296,9.112665,8.735174,8.419143,8.145488,7.912235,7.6980906,7.513387,7.3824286,7.3322434,7.3503575,7.410256,7.4871764,7.562601,7.6257677,7.670686,7.6949887,7.6978374,7.679243,7.6414113,7.58565,7.5127516,7.424777,7.321449,7.204352,7.075879,6.9374776,6.7888646,6.6313663,6.468402,6.3005586,6.1290874,5.953374,5.7712617,5.583984,5.392946,5.202658,5.0109553,3.1972911,1.9007702,1.1733912,0.8332357,0.6857595,0.6365521,0.6095893,0.5912833,0.5799632,0.57109684
name:ef-8_k:11_j:212_k:41,2.5909108e-10,1.0908712e-09,3.1660286e-09,1.6343444e-08,1.2248101e-07,1.0627936e-06,8.423709e-06,6.8248075e-05,0.00048974244,0.0027302313,0.011339141,0.035353065,0.08476985,0.16069417,0.25067088,0.33596483,0.40494448,0.44597045,0.1426963,0.0060761594,0.017068738,0.1366151,0.15890415,0.18507002,0.2169072,0.25648564,0.30592,0.3677866,0.44362846,0.534891,0.64279944,0.76576,0.9033674,1.0526016,1.2099149,1.3703971,1.528965,1.6806788,1.821598,1.9498247,2.0628111,2.1595395,2.23853,2.3009791,2.3473475,2.3801568,2.401377,2.411328,2.4098525,2.4010396,2.3909652,2.3790138,2.365399,2.3504214,2.3345382,2.3181055,2.301336,2.284616,2.268135,2.2519948,2.2365472,2.2216394,2.20721,2.193092,2.1791923,2.1655154,2.1520677,2.1387353,2.1253815,2.1117363,2.0977676,2.0837812,2.0693555,2.0543284,2.0386784,2.0224307,2.0055585,1.9878896,1.9690151,1.9489567,1.9277328,1.9052814,1.5308095,1.0612377,0.6497326,0.35346648,0.17302366,0.07757434,0.03396899,0.016431654,0.0097143985,0.0068084514
name:h-63_k:11_j:253_k:63,0.010799948,0.014749993,0.015084864,0.01372231,0.011747928,0.009733638,0.007916447,0.006371658,0.005097037,0.00407745,0.0032643978,0.0025952463,0.0020049934,0.0021262493,0.0027224028,0.0030967947,0.005239709,0.014868751,0.052836284,0.03189932,0.015268126,0.0072391313,0.006732642,0.0062593217,0.0058209766,0.005416951,0.005044229,0.004701333,0.00438424,0.0040910896,0.003820078,0.0035683082,0.0033352713,0.003119297,0.0029193566,0.002734158,0.0025623122,0.002402574,0.00225372,0.0021143393,0.0019842132,0.0018625638,0.0017491865,0.0016430988,0.0015439406,0.0014509899,0.0013637984,0.0012823826,0.0012059967,0.0011344897,0.0010673024,0.0010047936,0.00094877166,0.00089434907,0.00084012735,0.00078549504,0.000730907,0.00067710975,0.0006248249,0.00057500496,0.0005279312,0.00048433902,0.000444678,0.00040907756,0.0003775859,0.0003499884,0.00032571494,0.00030478468,0.00028682672,0.00027152317,0.00025830482,0.00024679487,0.00023674108,0.00022785255,0.00021986436,0.00021251613,0.0002056323,0.00019906889,0.00019267507,0.00018636207,0.00018008336,0.00017380921,0.00011449362,7.1341376e-05,4.4869663e-05,2.8312166e-05,1.7882197e-05,1.137337e-05,7.3150654e-06,4.744964e-06,3.093597e-06,1.9846425e-06
name:lw-1_k:11_j:203_k:99,1.6789689e-32,2.2253398e-29,6.0022083e-28,4.9072537e-27,2.3720895e-26,8.98395e-26,3.5149487e-25,1.7816678e-24,1.059102e-23,5.979909e-23,2.981378e-22,1.3238946e-21,5.201775e-21,1.8048037e-20,5.625776e-20,1.6090643e-19,4.2981186e-19,1.0696269e-18,1.2925899e-15,1.9910226e-13,2.2408663e-11,3.5045078e-09,6.4546493e-09,1.1190518e-08,1.9123613e-08,3.266849e-08,5.5644485e-08,9.509408e-08,1.6084074e-07,2.6908265e-07,4.48522e-07,7.2988524e-07,1.1788361e-06,1.8775156e-06,2.9643747e-06,4.631523e-06,7.1487593e-06,1.0864556e-05,1.6201817e-05,2.346377e-05,3.3254975e-05,4.610365e-05,6.2821375e-05,8.385509e-05,0.000109892135,0.0001409314,0.00017710122,0.0002187658,0.0002656204,0.00031711787,0.0003727122,0.00043158597,0.0004925101,0.000554344,0.00061582634,0.00067562767,0.0007324443,0.0007850748,0.0008324804,0.00087349553,0.00090815173,0.00093559263,0.0009551879,0.00096694945,0.0009706577,0.0009665863,0.00095595187,0.00093844463,0.0009145677,0.0008846341,0.00084940443,0.0008095332,0.0007659476,0.0007196107,0.00067207846,0.00062434556,0.0005782915,0.0005334942,0.00048915466,0.00044456634,0.00040075,0.00035909584,0.00010523882,2.580808e-05,5.611033e-06,1.1071127e-06,2.0195468e-07,3.482953e-08,5.8883782e-09,9.717949e-10,1.7832173e-10,5.879988e-11
name:ml-1_k:11_j:186_k:43,2.2948405e-09,1.8328176e-07,3.954513e-07,2.4850196e-06,9.159768e-06,2.3131828e-05,4.74995e-05,8.961632e-05,0.00017131955,0.00034943773,0.0007540489,0.0016164085,0.003177603,0.0057335226,0.009396093,0.013744819,0.018529763,0.023509633,0.036696322,0.09683463,0.83811593,4.3823385,4.780227,5.163245,5.5325522,5.8962765,6.271627,6.6864347,7.178305,7.7979965,8.62278,9.718609,11.202916,13.173053,15.736719,18.947601,22.801933,27.221163,32.067207,37.170197,42.389904,47.55831,52.48742,57.032246,61.044674,64.45787,67.21571,69.21268,70.44935,70.97982,70.86049,70.249504,69.364136,68.329315,66.93337,64.898415,62.242596,59.164013,55.862392,52.49602,49.168213,45.937572,42.84361,39.899315,37.10992,34.47285,31.966173,29.600714,27.372368,25.287176,23.346611,21.559177,19.949886,18.537868,17.347254,16.37096,15.607822,15.052469,14.664132,14.414403,14.264789,14.158398,22.177914,28.73604,27.247469,21.40786,14.958596,9.32645,5.2099695,2.7364397,1.435031,0.7886706
name:mw-100_k:8_j:203_k:99,5.379312e-39,1.2903713e-34,2.6421393e-32,7.0535557e-31,7.41997e-30,4.665546e-29,2.2307722e-28,1.001547e-27,5.0191032e-27,2.7849708e-26,1.5334018e-25,7.88922e-25,3.550652e-24,1.4095842e-23,5.072341e-23,1.6282527e-22,4.7520956e-22,1.3106865e-21,4.583315e-18,1.9294705e-15,4.6177103e-13,3.0808352e-11,4.3482475e-11,6.499195e-11,1.02014036e-10,1.6505157e-10,2.8352398e-10,4.879437e-10,8.203244e-10,1.3637058e-09,2.2652034e-09,3.6843588e-09,5.9657683e-09,9.546773e-09,1.518511e-08,2.3973069e-08,3.7496072e-08,5.794985e-08,8.821945e-08,1.3068133e-07,1.9003284e-07,2.7097892e-07,3.8126015e-07,5.26689e-07,7.1634514e-07,9.54333e-07,1.2472768e-06,1.6184656e-06,2.0762407e-06,2.6223752e-06,3.261549e-06,3.974445e-06,4.73303e-06,5.525583e-06,6.327597e-06,7.14457e-06,7.96469e-06,8.7768785e-06,9.567558e-06,1.0319947e-05,1.1026614e-05,1.1675499e-05,1.2250213e-05,1.2743653e-05,1.3122164e-05,1.331711e-05,1.3341093e-05,1.3180584e-05,1.2854948e-05,1.2398214e-05,1.185705e-05,1.1267999e-05,1.0648474e-05,1.0008816e-05,9.358704e-06,8.701593e-06,8.047163e-06,7.4022523e-06,6.7780866e-06,6.183551e-06,5.621067e-06,5.094873e-06,1.6342818e-06,4.2546924e-07,9.879533e-08,2.1298572e-08,4.7873567e-09,1.3590861e-09,5.703374e-10,2.922115e-10,1.6135471e-10,9.4011784e-11
name:mw-101_k:11_j:193_k:76,1892.7582,1850.3402,1800.075,1734.2507,1667.4965,1602.982,1542.3423,1478.9037,1415.4716,1373.5566,1387.0819,1460.7904,1524.0988,1566.7343,1591.1876,1553.1456,1487.0216,1455.6786,769.6827,775.3024,987.7513,808.9323,773.69415,737.565,700.69293,663.66187,626.4965,589.4573,552.9422,517.3953,482.90955,449.49896,417.27716,386.71823,357.88455,330.7543,305.33582,281.48813,259.16202,238.30322,218.96208,201.13896,184.79706,169.78377,156.03969,143.42055,131.81456,121.26016,111.61414,102.79111,94.66874,87.293976,80.52621,74.324455,68.607346,63.341606,58.504482,54.0522,49.949986,46.179382,42.68757,39.468487,36.506046,33.77381,31.262987,28.957705,26.816889,24.852654,23.042072,21.390303,19.875452,18.481157,17.205235,16.037302,14.970505,13.991487,13.095771,12.278326,11.531106,10.848854,10.222431,9.65051,6.073047,4.523396,3.7636907,3.3519142,3.112835,2.9739392,2.8955834,2.8476799,2.8202014,2.805473
name:mw-102_k:11_j:213_k:78,3185.4329,3136.9373,3092.5286,3035.6196,2951.9224,2775.8992,2541.4785,2295.8638,2053.9424,1826.9209,1619.5531,1435.3417,1276.1719,1147.0592,1046.327,968.8681,908.83966,870.7208,1662.4615,1897.576,787.5377,174.80171,149.33713,127.35332,108.872246,93.467514,80.592094,69.88232,60.87932,53.319267,47.00265,41.623108,37.07856,33.20713,29.905367,27.084553,24.654203,22.548271,20.71536,19.098597,17.675516,16.417864,15.323527,14.366792,13.517218,12.75422,12.066441,11.452213,10.898599,10.398222,9.944824,9.535172,9.162098,8.820824,8.5106945,8.226458,7.9658704,7.726767,7.5060105,7.3035617,7.115273,6.9413977,6.7809463,6.63286,6.4965034,6.3701425,6.2508802,6.139938,6.0367765,5.9407473,5.850993,5.7663674,5.687262,5.612808,5.542239,5.475485,5.4130025,5.355201,5.300502,5.2486105,5.198222,5.149304,4.7676926,4.5488358,4.410337,4.3291306,4.2942915,4.2757406,4.271735,4.2753253,4.278342,4.2846403
name:mw-104_k:9_j:244_k:70,0.00191484,0.0076083434,0.016327558,0.026933823,0.0396345,0.053653635,0.067911305,0.08189536,0.09526138,0.1076432,0.16491643,0.5295294,2.3068225,2.9631882,3.2320585,5.0217714,6.1108603,6.202868,5.956619,4.2007647,2.7127993,1.7000178,1.6215479,1.5461229,1.474036,1.4053433,1.3398217,1.2774558,1.2179434,1.1611955,1.107144,1.0554975,1.0063133,0.9594431,0.91482216,0.87237006,0.83197474,0.7935444,0.75694054,0.72197026,0.6886269,0.65684366,0.62660915,0.59781474,0.5704216,0.54428726,0.519331,0.49558708,0.47295776,0.45138502,0.43082565,0.41127276,0.3926088,0.37483355,0.3578805,0.3417286,0.32634065,0.3116775,0.2976974,0.28439432,0.27166718,0.25952816,0.247966,0.23694383,0.22644392,0.21644035,0.2068516,0.19770719,0.1889812,0.18067318,0.1727431,0.16516389,0.15793486,0.15103884,0.14446366,0.13817531,0.13216452,0.12643275,0.12096036,0.115733825,0.110729046,0.10595205,0.068632886,0.04476213,0.029394468,0.019390492,0.012825525,0.008513051,0.005678691,0.0038050646,0.0025600167,0.0017315344
