site_name,kper:000,kper:001,kper:002,kper:003,kper:004,kper:005,kper:006,kper:007,kper:008,kper:009,kper:010,kper:011,kper:012,kper:013,kper:014,kper:015,kper:016,kper:017,kper:018,kper:019,kper:020,kper:021,kper:022,kper:023,kper:024,kper:025,kper:026,kper:027,kper:028,kper:029,kper:030,kper:031,kper:032,kper:033,kper:034,kper:035,kper:036,kper:037,kper:038,kper:039,kper:040,kper:041,kper:042,kper:043,kper:044,kper:045,kper:046,kper:047,kper:048,kper:049,kper:050,kper:051,kper:052,kper:053,kper:054,kper:055,kper:056,kper:057,kper:058,kper:059,kper:060,kper:061,kper:062,kper:063,kper:064,kper:065,kper:066,kper:067,kper:068,kper:069,kper:070,kper:071,kper:072,kper:073,kper:074,kper:075,kper:076,kper:077,kper:078,kper:079,kper:080,kper:081,kper:082,kper:083,kper:084,kper:085,kper:086,kper:087,kper:088,kper:089,kper:090,kper:091
name:ef-3a_k:11_j:219_k:44,6468.8555,6486.9517,6489.774,6491.5103,6492.7446,6493.678,6494.4233,6495.028,6495.5234,6495.931,6496.302,6496.772,6497.705,6498.323,6498.6924,6499.6978,6500.976,6501.484,6505.5996,6508.368,6510.1875,6511.392,6511.488,6511.581,6511.6675,6511.7534,6511.837,6511.918,6511.996,6512.0728,6512.1465,6512.216,6512.2886,6512.354,6512.422,6512.4883,6512.554,6512.62,6512.6855,6512.749,6512.8115,6512.869,6512.929,6512.987,6513.0435,6513.0986,6513.1475,6513.2,6513.2476,6513.295,6513.3423,6513.3945,6513.4463,6513.496,6513.5425,6513.5874,6513.633,6513.6763,6513.7207,6513.7646,6513.8013,6513.8394,6513.879,6513.921,6513.9634,6514.005,6514.0415,6514.075,6514.1084,6514.149,6514.1914,6514.219,6514.256,6514.297,6514.338,6514.3774,6514.4087,6514.431,6514.468,6514.4985,6514.524,6514.5503,6514.901,6515.209,6515.4927,6515.707,6515.922,6516.1,6516.2393,6516.371,6516.479,6516.6094
name:ef-6_k:9_j:203_k:47,6486.084,6486.2935,6487.636,6488.7163,6489.563,6490.2344,6490.7847,6491.242,6491.6265,6491.952,6492.2583,6492.6694,6493.5244,6494.0913,6494.4473,6495.4106,6496.63,6497.139,6501.3047,6503.964,6505.657,6506.751,6506.8374,6506.9214,6506.9995,6507.0757,6507.1504,6507.2236,6507.2944,6507.364,6507.4307,6507.493,6507.5596,6507.6196,6507.6807,6507.741,6507.802,6507.8633,6507.9243,6507.985,6508.043,6508.096,6508.152,6508.2046,6508.257,6508.3076,6508.352,6508.3994,6508.444,6508.4873,6508.531,6508.579,6508.628,6508.6753,6508.7188,6508.76,6508.8013,6508.8413,6508.882,6508.923,6508.9575,6508.992,6509.0283,6509.067,6509.1074,6509.146,6509.1807,6509.212,6509.2417,6509.2793,6509.32,6509.347,6509.38,6509.4185,6509.4585,6509.497,6509.5264,6509.5483,6509.5806,6509.6084,6509.6323,6509.656,6509.9917,6510.278,6510.547,6510.7456,6510.9507,6511.118,6511.246,6511.3706,6511.47,6511.597
name:ef-8_k:11_j:212_k:41,6482.7817,6486.3857,6488.6665,6490.1553,6491.241,6492.0713,6492.7383,6493.2847,6493.736,6494.1113,6494.4536,6494.883,6495.727,6496.347,6496.7393,6497.6646,6498.882,6499.4624,6503.6284,6506.353,6508.1177,6509.275,6509.365,6509.4546,6509.5366,6509.619,6509.698,6509.776,6509.8506,6509.9243,6509.995,6510.061,6510.1313,6510.194,6510.259,6510.323,6510.3867,6510.4517,6510.5146,6510.5767,6510.637,6510.6924,6510.7505,6510.8066,6510.8604,6510.9146,6510.9604,6511.011,6511.057,6511.102,6511.148,6511.1997,6511.25,6511.299,6511.3423,6511.3857,6511.4297,6511.4717,6511.5146,6511.557,6511.592,6511.6284,6511.6665,6511.708,6511.75,6511.789,6511.8247,6511.8564,6511.8887,6511.928,6511.97,6511.996,6512.0327,6512.0728,6512.1133,6512.1523,6512.1816,6512.2026,6512.2383,6512.268,6512.2915,6512.3174,6512.6616,6512.961,6513.238,6513.4443,6513.6543,6513.827,6513.961,6514.089,6514.193,6514.322
name:h-63_k:11_j:253_k:63,6554.872,6554.165,6553.457,6552.732,6552.015,6551.3105,6550.62,6549.954,6549.3003,6548.6714,6548.105,6547.7397,6548.0034,6547.9517,6547.639,6548.1626,6549.064,6549.0586,6549.1636,6549.784,6550.541,6551.2554,6551.3223,6551.388,6551.453,6551.517,6551.58,6551.643,6551.7046,6551.766,6551.8257,6551.8853,6551.9434,6552.0015,6552.057,6552.1123,6552.1675,6552.222,6552.2754,6552.328,6552.3794,6552.4307,6552.4814,6552.5312,6552.58,6552.6294,6552.678,6552.7256,6552.7725,6552.82,6552.8647,6552.908,6552.952,6552.9946,6553.037,6553.079,6553.12,6553.16,6553.2,6553.2383,6553.279,6553.318,6553.3564,6553.394,6553.43,6553.467,6553.5034,6553.5396,6553.576,6553.6104,6553.645,6553.68,6553.7134,6553.746,6553.7783,6553.8105,6553.8423,6553.874,6553.9043,6553.935,6553.967,6553.9985,6554.2754,6554.5234,6554.749,6554.9507,6555.1284,6555.2866,6555.4263,6555.5483,6555.6562,6555.7495
name:lw-1_k:11_j:203_k:99,6571.451,6571.3184,6571.4204,6571.4893,6571.508,6571.4814,6571.417,6571.321,6571.197,6571.0474,6570.914,6570.9287,6571.4395,6571.4663,6571.3223,6571.9683,6572.7114,6572.543,6572.6675,6572.491,6572.3555,6572.283,6572.28,6572.2773,6572.276,6572.2754,6572.2754,6572.276,6572.2773,6572.28,6572.2827,6572.2866,6572.2905,6572.296,6572.3013,6572.3076,6572.3145,6572.322,6572.3296,6572.338,6572.3467,6572.3564,6572.366,6572.376,6572.387,6572.398,6572.409,6572.421,6572.4326,6572.445,6572.457,6572.469,6572.482,6572.495,6572.5083,6572.522,6572.535,6572.5493,6572.563,6572.5776,6572.5913,6572.6045,6572.6187,6572.633,6572.6475,6572.662,6572.6763,6572.69,6572.703,6572.7173,6572.732,6572.745,6572.758,6572.7725,6572.787,6572.8022,6572.816,6572.827,6572.842,6572.8545,6572.8667,6572.8784,6573.017,6573.1484,6573.276,6573.3843,6573.488,6573.5806,6573.6597,6573.733,6573.795,6573.8594
name:ml-1_k:11_j:186_k:43,6489.446,6488.0386,6487.355,6487.0967,6487.034,6487.062,6487.1357,6487.23,6487.332,6487.4346,6487.5566,6487.787,6488.4053,6488.8877,6489.1953,6489.974,6491.062,6491.634,6495.527,6497.815,6499.214,6500.0977,6500.166,6500.233,6500.2944,6500.3545,6500.4155,6500.476,6500.534,6500.5913,6500.6465,6500.6978,6500.754,6500.803,6500.8535,6500.9053,6500.957,6501.0107,6501.0674,6501.122,6501.174,6501.2188,6501.2676,6501.3135,6501.358,6501.403,6501.441,6501.483,6501.521,6501.558,6501.596,6501.6416,6501.688,6501.731,6501.7686,6501.8047,6501.841,6501.8755,6501.912,6501.948,6501.978,6502.009,6502.042,6502.0776,6502.1147,6502.149,6502.18,6502.207,6502.234,6502.2686,6502.308,6502.3315,6502.3633,6502.4004,6502.439,6502.474,6502.5,6502.5176,6502.546,6502.5703,6502.591,6502.612,6502.9272,6503.189,6503.4375,6503.617,6503.8076,6503.958,6504.072,6504.186,6504.2744,6504.396
name:mw-100_k:8_j:203_k:99,6571.447,6571.312,6571.413,6571.4814,6571.5,6571.473,6571.4087,6571.313,6571.1885,6571.0396,6570.906,6570.921,6571.4316,6571.4585,6571.3145,6571.9604,6572.7036,6572.535,6572.6597,6572.4834,6572.347,6572.275,6572.272,6572.2695,6572.268,6572.267,6572.267,6572.268,6572.2695,6572.2715,6572.275,6572.2783,6572.2827,6572.2876,6572.2935,6572.3,6572.306,6572.314,6572.322,6572.33,6572.339,6572.348,6572.358,6572.368,6572.379,6572.3896,6572.401,6572.4126,6572.425,6572.4365,6572.449,6572.4614,6572.4736,6572.487,6572.5005,6572.5137,6572.5273,6572.541,6572.555,6572.5693,6572.583,6572.5967,6572.6104,6572.6245,6572.639,6572.6543,6572.668,6572.682,6572.6953,6572.7095,6572.7236,6572.737,6572.75,6572.764,6572.7793,6572.794,6572.8076,6572.8193,6572.834,6572.8467,6572.8584,6572.8706,6573.0093,6573.1406,6573.268,6573.3765,6573.48,6573.5728,6573.652,6573.725,6573.787,6573.8516
name:mw-101_k:11_j:193_k:76,6557.252,6556.972,6557.012,6557.207,6557.4004,6557.5454,6557.633,6557.676,6557.681,6557.6523,6557.6294,6557.7285,6558.263,6558.4097,6558.384,6559.008,6559.7485,6559.719,6560.1787,6560.1313,6560.003,6559.9146,6559.909,6559.9043,6559.9004,6559.897,6559.894,6559.8916,6559.89,6559.8896,6559.8896,6559.8896,6559.8906,6559.8926,6559.8945,6559.8975,6559.901,6559.905,6559.9097,6559.9146,6559.92,6559.926,6559.932,6559.939,6559.946,6559.953,6559.9614,6559.969,6559.978,6559.987,6559.9956,6560.005,6560.014,6560.024,6560.033,6560.0435,6560.0537,6560.0645,6560.075,6560.0854,6560.0967,6560.1074,6560.118,6560.1294,6560.14,6560.1514,6560.1626,6560.174,6560.185,6560.1963,6560.207,6560.2183,6560.229,6560.2397,6560.251,6560.262,6560.2734,6560.284,6560.2954,6560.3057,6560.3164,6560.3267,6560.433,6560.5396,6560.643,6560.7354,6560.8174,6560.8945,6560.9604,6561.02,6561.071,6561.121
name:mw-102_k:11_j:213_k:78,6570.0347,6572.264,6573.5894,6574.3467,6574.8086,6575.0835,6575.237,6575.303,6575.3086,6575.2656,6575.213,6575.2603,6575.6943,6575.8496,6575.834,6576.361,6577.067,6577.135,6577.712,6577.743,6577.6685,6577.6064,6577.602,6577.598,6577.5947,6577.592,6577.5894,6577.587,6577.5854,6577.5845,6577.5835,6577.5835,6577.584,6577.585,6577.5864,6577.5884,6577.591,6577.5938,6577.597,6577.601,6577.6055,6577.61,6577.615,6577.6206,6577.6265,6577.6333,6577.6396,6577.647,6577.6543,6577.6616,6577.67,6577.678,6577.687,6577.696,6577.7046,6577.7144,6577.7236,6577.7334,6577.7437,6577.754,6577.7646,6577.7744,6577.785,6577.796,6577.807,6577.8184,6577.8296,6577.841,6577.8516,6577.8623,6577.874,6577.8853,6577.896,6577.907,6577.9194,6577.9316,6577.9434,6577.9536,6577.9653,6577.976,6577.987,6577.9976,6578.116,6578.2334,6578.3486,6578.4487,6578.544,6578.63,6578.704,6578.7725,6578.831,6578.892
name:mw-104_k:9_j:244_k:70,6603.342,6603.341,6603.3413,6603.3413,6603.341,6603.3403,6603.341,6603.3403,6603.341,6603.3403,6603.3433,6603.35,6603.366,6603.353,6603.347,6603.373,6603.379,6603.3486,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.355,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.355,6603.355,6603.3555,6603.3555,6603.3555,6603.3555,6603.355,6603.3555,6603.355,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.356,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555,6603.3555
