Name,X,Y,Target,Layer,Sublayer,row,column,GlobalNode,ActiveNode,Weight,Group,Layer2,Minimum,Maximum,Component,Type,Layer_Elevation,Time
DM80-4,2272683.553903,10432110.719176,6489.150000,12,1,207,37,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6356.377000,147.000000
EastWell,2264741.372331,10438725.899551,6353.030000,12,1,104,28,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6125.193000,5435.000000
EastWell,2264741.372331,10438725.899551,6348.780000,12,1,104,28,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6125.193000,6470.000000
EF-13,2276692.261783,10434697.098939,6557.270000,12,1,217,84,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6554.596000,186.000000
EF-19,2273915.060991,10436574.040973,6540.550000,12,1,184,77,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6527.383500,197.000000
EF-2,2273869.601856,10431619.211342,6459.110000,12,1,219,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6365.036500,211.000000
EF-20,2273853.573873,10437530.497494,6545.390000,12,1,177,84,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6497.238500,196.000000
EF-20,2273853.573873,10437530.497494,6545.070000,12,1,177,84,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6497.238500,518.000000
EF-20,2273853.573873,10437530.497494,6544.720000,12,1,177,84,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6497.238500,830.000000
EF-23,2276049.840906,10435911.973837,6567.680000,12,1,204,88,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6521.881000,196.000000
EF-24,2276561.626060,10435169.680274,6544.530000,12,1,213,86,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6541.738500,186.000000
EF-25,2274743.926342,10435815.210631,6556.510000,12,1,196,78,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6556.217000,199.000000
EF-26,2274048.491920,10436100.425945,6542.880000,12,1,189,75,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6545.753500,190.000000
EF-4,2274470.524225,10431440.412097,6455.890000,12,1,225,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6447.767000,195.000000
EF-5,2274119.314714,10432636.681682,6456.000000,12,1,214,51,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6449.919000,198.000000
GW-20A,2276957.183291,10433789.031615,6574.620000,12,1,226,79,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6557.091000,186.000000
H-56,2275435.321485,10434308.521084,6580.680000,12,1,211,72,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6581.677500,180.000000
ML-2,2272603.887857,10432033.317667,6487.500000,12,1,207,36,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6360.042500,195.000000
MW-11A,2274426.631305,10431936.138956,6434.040000,12,1,221,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6402.813500,186.000000
MW-4,2277596.902846,10431375.977384,6485.550000,12,1,247,67,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6558.298000,198.000000
MW-6,2273862.756365,10432354.292871,6419.680000,12,1,214,47,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6435.224500,170.000000
MW-8,2276033.342313,10435219.277800,6547.950000,12,1,209,83,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6544.067000,487.000000
MW-8A,2276033.012996,10435221.242882,6556.500000,12,1,209,83,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6544.067000,132.000000
MW-9,2277033.770472,10435224.060540,6570.790000,12,1,216,90,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6538.383500,196.000000
PZ-8,2267281.038148,10437650.477598,6437.660000,12,1,130,38,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6246.392500,5435.000000
PZ-8,2267281.038148,10437650.477598,6437.540000,12,1,130,38,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6246.392500,5813.000000
RW-1,2276464.512424,10434170.258486,6571.210000,12,1,219,78,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6573.699000,148.000000
RW-2,2277441.765666,10434039.150926,6572.940000,12,1,227,84,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6557.621500,148.000000
WestWell,2264340.899994,10438609.922198,6345.140000,12,1,102,24,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6116.083000,148.000000
WestWell,2264340.899994,10438609.922198,6341.000000,12,1,102,24,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6116.083000,148.000000
EF-3A,2274132.874014,10431783.236983,6453.400000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,163.000000
EF-3A,2274132.874014,10431783.236983,6465.510000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,519.000000
EF-3A,2274132.874014,10431783.236983,6473.730000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,881.000000
